,Taxonomic ID,Organism Name,Functional Repertoire Size,HabitatPreference,TemperaturePreference,OxygenPreference
uid57965,222891,Neorickettsia sennetsu Miyayama,886,Host,Mesophile,Aerobe
uid62183,749222,Nitratifractor salsuginis DSM 16511,1852,"Marine (Hydrothermal vent, Marine)",Mesophile,Anaerobe
uid58861,387092,Nitratiruptor SB155 2,1629,"Marine (Deep sea, Hydrothermal vent, Marine)",Thermophile,Anaerobe
uid58293,323097,Nitrobacter hamburgensis X14,2966,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid58295,323098,Nitrobacter winogradskyi Nb 255,2415,"Soil (Soil, Terrestrial)",Mesophile,Facultative
uid46803,472759,Nitrosococcus halophilus Nc4,3042,Marine,Mesophile,Aerobe
uid58403,323261,Nitrosococcus oceani ATCC 19707,2472,Marine,Mesophile,Aerobe
uid50331,105559,Nitrosococcus watsonii C 113,2424,Marine,Mesophile,Aerobe
uid55727,153948,Nitrosomonas AL212,2252,Soil,Mesophile,Aerobe
uid57647,228410,Nitrosomonas europaea ATCC 19718,1993,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid58363,335283,Nitrosomonas eutropha C91,1961,Fresh water,Mesophile,Aerobe
uid68745,261292,Nitrosomonas Is79A3,2646,Fresh water,Mesophile,Aerobe
uid58361,323848,Nitrosospira multiformis ATCC 25196,2200,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid58203,247156,Nocardia farcinica IFM 10152,4031,"Multi (Fresh water, Soil, Host)",Mesophile,Aerobe
uid58149,196162,Nocardioides JS614,3345,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid49483,446468,Nocardiopsis dassonvillei DSM 43111,3369,"Host (Blood, Host)",Mesophile,Aerobe
uid49725,551115,Nostoc azollae 0708,2873,Host,Mesophile,Aerobe
uid57803,103690,Nostoc PCC 7120,3817,Soil,Mesophile,Aerobe
uid57767,63737,Nostoc punctiforme PCC 73102,4136,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid57747,279238,Novosphingobium aromaticivorans DSM 12444,2679,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe (Obligate aerobe)
uid67383,702113,Novosphingobium PP1Y,2642,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe (Obligate aerobe)
uid60855,670487,Oceanithermus profundus DSM 14977,1895,"Marine (Deep sea, Hydrothermal vent, Marine)",Thermophile,Aerobe (Microaerophilic)
uid57867,221109,Oceanobacillus iheyensis HTE831,2737,Soil,Mesophile,Aerobe
uid58921,439375,Ochrobactrum anthropi ATCC 49188,2261,"Multi (Host, Sludge, Soil, Terrestrial)",Mesophile,Aerobe
uid63397,709991,Odoribacter splanchnicus DSM 20712,2630,Host,Mesophile,Anaerobe
uid59417,203123,Oenococcus oeni PSU 1,1376,,Mesophile,Facultative
uid59155,504832,Oligotropha carboxidovorans OM5,2984,,Mesophile,
uid72795,504832,Oligotropha carboxidovorans OM5,2660,,Mesophile,
uid51367,633147,Olsenella uli DSM 7084,1425,Host,Mesophile,Anaerobe
uid58015,262768,Onion yellows phytoplasma OY M,460,Host,Mesophile,Aerobe
uid58965,452637,Opitutus terrae PB90 1,3474,Soil,Mesophile,Anaerobe (Obligate anaerobe)
uid61621,357244,Orientia tsutsugamushi Boryong,716,Host,Mesophile,Aerobe
uid58869,334380,Orientia tsutsugamushi Ikeda,734,Host,Mesophile,Aerobe
uid73895,693746,Oscillibacter valericigenes,3144,,,
uid59021,324057,Paenibacillus JDR 2,4104,"Host (Host, Wood)",Mesophile,Aerobe
uid68311,1036673,Paenibacillus mucilaginosus KNP414,5344,,Mesophile,
uid53477,349520,Paenibacillus polymyxa E681,3440,Other (Rhizosphere),Mesophile,
uid59583,886882,Paenibacillus polymyxa SC2,3993,Other (Rhizosphere),Mesophile,
uid41127,481743,Paenibacillus Y412MC10,4238,,Mesophile,Facultative
uid60725,694427,Paludibacter propionicigenes WB4,2537,Soil,Mesophile,Anaerobe
uid46807,706191,Pantoea ananatis LMG 20103,3187,Host,Mesophile,Facultative
uid55845,592316,Pantoea At 9b,2957,Host,Mesophile,Facultative
uid49871,712898,Pantoea vagans C9 1,2881,Host,Mesophile,Facultative
uid58301,435591,Parabacteroides distasonis ATCC 8503,2815,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid68335,765952,Parachlamydia acanthamoebae UV7,2350,,Mesophile,
uid58187,318586,Paracoccus denitrificans PD1222,2204,"Soil (Soil, Sewage plant)",Mesophile,Aerobe
uid58739,402881,Parvibaculum lavamentivorans DS 1,2816,Other (Sludge),Mesophile,Aerobe
uid51641,314260,Parvularcula bermudensis HTCC2503,2295,Marine,Mesophile,Aerobe
uid57627,272843,Pasteurella multocida Pm70,1740,Host,Mesophile,Facultative
uid57957,218491,Pectobacterium atrosepticum SCRI1043,3361,Host,Mesophile,Facultative
uid59295,561230,Pectobacterium carotovorum PC1,3197,Host,Mesophile,Facultative
uid41297,561231,Pectobacterium wasabiae WPP163,3367,Host,Mesophile,Facultative
uid57981,278197,Pediococcus pentosaceus ATCC 25745,1466,"Other (Fruits, Plants)",Mesophile,Facultative
uid59111,485917,Pedobacter heparinus DSM 2366,3053,Soil,Mesophile,Aerobe
uid61349,762903,Pedobacter saltans DSM 12145,2952,Soil,Mesophile,Aerobe
uid74393,1082931,Pelagibacterium halotolerans B2,2903,,,
uid58241,338963,Pelobacter carbinolicus DSM 2380,2656,"Multi (Fresh water, Marine, Sludge)",Mesophile,Anaerobe
uid58255,338966,Pelobacter propionicus DSM 2379,2748,"Multi (Fresh water, Marine)",Mesophile,Anaerobe
uid58173,324925,Pelodictyon phaeoclathratiforme BU 1,2190,"Multi (Fresh water, Marine)",Mesophile,Anaerobe
uid58877,370438,Pelotomaculum thermopropionicum SI,2230,Other (Sludge),Thermophile,Anaerobe
uid58119,123214,Persephonella marina EX H1,1756,Marine,Thermophile,Aerobe (Microaerophilic)
uid58747,403833,Petrotoga mobilis SJ95,1542,"Marine (Marine, Oil fields)",Thermophile,Anaerobe
uid58959,450851,Phenylobacterium zucineum HLK1,2692,Host,Mesophile,Aerobe
uid62923,298386,Photobacterium profundum SS9,2644,Marine,Psychrophile (Psychrotolerant),Facultative
uid59243,553480,Photorhabdus asymbiotica ATCC 43949,3092,,,
uid61593,243265,Photorhabdus luminescens laumondii TTO1,3336,Host,Mesophile,Facultative
uid43209,530564,Pirellula staleyi DSM 6068,3783,Fresh water,Mesophile,Aerobe
uid60583,756272,Planctomyces brasiliensis DSM 5305,3681,"Multi (Fresh water, Marine)",Mesophile,Aerobe
uid48643,521674,Planctomyces limnophilus DSM 3776,3486,"Multi (Fresh water, Marine)",Mesophile,Aerobe
uid58207,296591,Polaromonas JS666,3363,Fresh water,Mesophile,Aerobe
uid58273,365044,Polaromonas naphthalenivorans CJ2,3063,Fresh water,Mesophile,Aerobe
uid65447,991905,Polymorphum gilvum SL003B 26A1,3203,,,
uid58611,312153,Polynucleobacter necessarius asymbioticus QLW P1DMWA 1,1768,"Multi (Host, Fresh water)",Mesophile,Aerobe
uid58967,452638,Polynucleobacter necessarius STIR1,1311,"Multi (Endosymbiont, Fresh water, Fresh water, Host)",Mesophile,Aerobe
uid66603,879243,Porphyromonas asaccharolytica DSM 20707,1445,,,
uid58879,431947,Porphyromonas gingivalis ATCC 33277,1709,"Host (Colon, Gastrointestinal tract, Host, Oral microflora, Respiratory tract)",Mesophile,Anaerobe
uid67407,1030843,Porphyromonas gingivalis TDC60,1777,"Host (Colon, Gastrointestinal tract, Host, Oral microflora, Respiratory tract)",Mesophile,Anaerobe
uid57641,242619,Porphyromonas gingivalis W83,1652,"Host (Gastrointestinal tract, Colon, Host, Oral microflora, Respiratory tract)",Mesophile,Anaerobe
uid65091,767031,Prevotella denticola F0289,2062,"Human (Human oral microflora, Host)",Mesophile,Anaerobe
uid51377,553174,Prevotella melaninogenica ATCC 25845,1229,"Human (Host, Human oral microflora)",Mesophile,Anaerobe
uid47507,264731,Prevotella ruminicola 23,2199,Host,Mesophile,Anaerobe
uid58307,146891,Prochlorococcus marinus AS9601,1745,Marine,Mesophile,
uid57995,167539,Prochlorococcus marinus CCMP1375,1705,Marine,Mesophile,
uid58309,93059,Prochlorococcus marinus MIT 9211,1677,Marine,Mesophile,
uid58819,93060,Prochlorococcus marinus MIT 9215,1786,Marine,Mesophile,
uid58437,167546,Prochlorococcus marinus MIT 9301,1733,Marine,Mesophile,
uid58305,59922,Prochlorococcus marinus MIT 9303,2557,Marine,Mesophile,
uid58357,74546,Prochlorococcus marinus MIT 9312,1616,Marine,Mesophile,
uid57773,74547,Prochlorococcus marinus MIT 9313,1936,Marine,Mesophile,
uid58313,167542,Prochlorococcus marinus MIT 9515,1730,"Marine (Marine, Surface water)",Mesophile,
uid58423,167555,Prochlorococcus marinus NATL1A,1934,Marine,Mesophile,
uid58359,59920,Prochlorococcus marinus NATL2A,1896,Marine,Mesophile,
uid57761,59919,Prochlorococcus marinus pastoris CCMP1986,1541,Marine,Mesophile,
uid58101,267747,Propionibacterium acnes KPA171202,1901,"Human (Host, Human skin)",Mesophile,Anaerobe
uid48071,553199,Propionibacterium acnes SK137,1930,"Human (Host, Human skin)",Mesophile,Anaerobe
uid49535,754252,Propionibacterium freudenreichii shermanii CIRM BIA1,1937,,Mesophile,Anaerobe
uid58151,290512,Prosthecochloris aestuarii DSM 271,1930,Fresh water,Mesophile,
uid61599,529507,Proteus mirabilis HI4320,2934,"Host (Intestinal microflora, Host)",Mesophile,Facultative
uid58283,342610,Pseudoalteromonas atlantica T6c,3384,Fresh water,Mesophile,Aerobe
uid58431,326442,Pseudoalteromonas haloplanktis TAC125,2486,"Marine (Coastal, Marine)",Psychrophile,Aerobe
uid61247,234831,Pseudoalteromonas SM9913,2574,"Marine (Marine, Coastal)",Psychrophile (Psychrotolerant),Aerobe
uid73423,748280,Pseudogulbenkiania NH8B,3028,,,
uid59275,557722,Pseudomonas aeruginosa LESB58,4271,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid58627,381754,Pseudomonas aeruginosa PA7,4612,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid57945,208964,Pseudomonas aeruginosa PAO1,3981,"Multi (Fresh water, Host, Soil, Wastewater)",Mesophile,Aerobe
uid57977,208963,Pseudomonas aeruginosa UCBPP PA14,4260,"Multi (Fresh water, Host, Soil, Wastewater)",Mesophile,Aerobe
uid66303,994484,Pseudomonas brassicacearum NFM421,4224,Other (Root nodule),,
uid58639,384676,Pseudomonas entomophila L48,3740,"Fresh water (Wastewater, Fresh water)",Mesophile,Aerobe
uid57937,220664,Pseudomonas fluorescens Pf 5,4304,"Multi (Soil, Fresh water)",Mesophile,Aerobe
uid57591,205922,Pseudomonas fluorescens Pf0 1,4022,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid62971,216595,Pseudomonas fluorescens SBW25,4107,,Mesophile,Aerobe
uid67351,743720,Pseudomonas fulva 12 X,3345,,,
uid66299,1001585,Pseudomonas mendocina NK 01,3657,"Multi (Blood, Fresh water, Host, Soil)",Mesophile,Aerobe
uid58723,399739,Pseudomonas mendocina ymp,3422,"Multi (Blood, Fresh water, Host, Soil)",Mesophile,Aerobe
uid58355,351746,Pseudomonas putida F1,3694,Soil,Mesophile,Aerobe
uid58735,76869,Pseudomonas putida GB 1,3787,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid57843,160488,Pseudomonas putida KT2440,3761,Soil,Mesophile,Aerobe
uid68747,1042876,Pseudomonas putida S16,3598,"Soil (Soil, Wastewater)",Mesophile,Facultative
uid58651,390235,Pseudomonas putida W619,3670,"Multi (Soil, Endophyte, Host)",Mesophile,Aerobe
uid58641,379731,Pseudomonas stutzeri A1501,3142,"Multi (Host, Rice roots, Soil)",Mesophile,Aerobe
uid68749,96563,Pseudomonas stutzeri ATCC 17588 LMG 11199,3241,"Multi (Host, Marine, Rice roots, Soil)",Mesophile,Aerobe
uid57931,205918,Pseudomonas syringae B728a,3715,Other (Plants),Mesophile,Aerobe
uid58099,264730,Pseudomonas syringae phaseolicola 1448A,3594,Other (Plants),Mesophile,Aerobe
uid57967,223283,Pseudomonas syringae tomato DC3000,3893,"Multi (Endophyte, Fresh water, Host, Soil)",Mesophile,Aerobe
uid65087,675635,Pseudonocardia dioxanivorans CB1190,4175,"Fresh water (Fresh water, Sludge)",Mesophile,Aerobe
uid75113,1045855,Pseudoxanthomonas spadix BD a59,2618,,,
uid62105,743721,Pseudoxanthomonas suwonensis 11 1,2596,,,Aerobe
uid58021,259536,Psychrobacter arcticus 273 4,1833,"Multi (Fish, Fresh water, Soil)",Psychrophile,Aerobe
uid58373,335284,Psychrobacter cryohalolentis K5,2046,Fresh water,Psychrophile,Aerobe
uid58459,349106,Psychrobacter PRwf 1,1950,"Multi (Marine, Permafrost sediment, Soil, Host)",Psychrophile,Aerobe
uid58521,357804,Psychromonas ingrahamii 37,2794,"Marine (Deep sea, Marine)",Psychrophile,Anaerobe
uid66391,1007105,Pusillimonas T7 7,2676,,,
uid62715,741091,Rahnella Y9602,3233,"Multi (Fresh water, Host, Human intestinal microflora)",Mesophile,Facultative
uid62925,381666,Ralstonia eutropha H16,2666,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid58047,264198,Ralstonia eutropha JMP134,2595,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid58859,428406,Ralstonia pickettii 12D,2737,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid58737,402626,Ralstonia pickettii 12J,2868,"Multi (Fresh water, Host, Sediment, Soil)",Mesophile,Aerobe
uid50545,859656,Ralstonia solanacearum CFBP2957,2669,,,
uid57593,267608,Ralstonia solanacearum GMI1000,2734,Soil,Mesophile,Aerobe
uid50539,859657,Ralstonia solanacearum PSI07,2680,,,
uid68279,365046,Ramlibacter tataouinensis TTB310,2892,Soil,Mesophile,Aerobe
uid58899,288705,Renibacterium salmoninarum ATCC 33209,2428,"Multi (Fresh water, Host)",Mesophile,Facultative
uid58377,347834,Rhizobium etli CFN 42,3033,"Host (Host, Plant root, Root nodule)",Mesophile,Aerobe
uid59115,491916,Rhizobium etli CIAT 652,3348,"Host (Host, Plant root, Root nodule)",Mesophile,Aerobe
uid58991,395491,Rhizobium leguminosarum bv trifolii WSM1325,3356,"Multi (Host, Plant root, Root nodule, Soil)",Mesophile,Aerobe
uid58997,395492,Rhizobium leguminosarum bv trifolii WSM2304,3306,"Multi (Host, Plant root, Root nodule, Soil)",Mesophile,Aerobe
uid57955,216596,Rhizobium leguminosarum bv viciae 3841,3424,"Host (Plant root, Root nodule, Host)",Mesophile,Aerobe
uid59081,394,Rhizobium NGR234,2799,"Host (Host, Plant root, Root nodule)",Mesophile,Aerobe
uid47509,272942,Rhodobacter capsulatus SB 1003,2792,,Mesophile,Facultative
uid57653,272943,Rhodobacter sphaeroides 2 4 1,2452,,Mesophile,Facultative
uid58451,349102,Rhodobacter sphaeroides ATCC 17025,2432,,Mesophile,Facultative
uid58449,349101,Rhodobacter sphaeroides ATCC 17029,2420,,Mesophile,Facultative
uid59277,557760,Rhodobacter sphaeroides KD131,2505,,Mesophile,Facultative
uid60171,685727,Rhodococcus equi 103S,3166,Host,Mesophile,Aerobe
uid59019,234621,Rhodococcus erythropolis PR4,4002,Marine,Mesophile,Aerobe
uid58325,101510,Rhodococcus jostii RHA1,4340,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid13791,632772,Rhodococcus opacus B4,4269,,Mesophile,Aerobe
uid58353,338969,Rhodoferax ferrireducens T118,3055,,Psychrophile (Psychrotolerant),Anaerobe
uid43247,648757,Rhodomicrobium vannielii ATCC 17100,2826,,Mesophile,
uid61589,243090,Rhodopirellula baltica SH 1,5918,Marine,Mesophile,Aerobe
uid58445,316055,Rhodopseudomonas palustris BisA53,3616,"Multi (Fresh water, Soil)",Mesophile,Facultative
uid58443,316056,Rhodopseudomonas palustris BisB18,3584,"Multi (Fresh water, Soil)",Mesophile,Facultative
uid58441,316057,Rhodopseudomonas palustris BisB5,3260,"Multi (Fresh water, Soil)",Mesophile,Facultative
uid62901,258594,Rhodopseudomonas palustris CGA009,3435,"Multi (Fresh water, Soil)",Mesophile,Facultative
uid43327,652103,Rhodopseudomonas palustris DX 1,3615,"Multi (Soil, Fresh water)",Mesophile,Facultative
uid58439,316058,Rhodopseudomonas palustris HaA2,3393,"Multi (Fresh water, Soil)",Mesophile,Facultative
uid58995,395960,Rhodopseudomonas palustris TIE 1,3806,Soil,Mesophile,Facultative
uid58805,414684,Rhodospirillum centenum SW,3224,Fresh water,Mesophile,Facultative
uid57655,269796,Rhodospirillum rubrum ATCC 11170,2865,Fresh water,Mesophile,Facultative
uid41729,518766,Rhodothermus marinus DSM 4252,2323,"Marine (Marine, Hot spring)",Thermophile,Aerobe
uid72767,762570,Rhodothermus marinus SG0 5JP17 172,2319,,,
uid58799,347255,Rickettsia africae ESF 5,933,Host,Mesophile,Aerobe
uid58161,293614,Rickettsia akari Hartford,1059,Host,Mesophile,Aerobe
uid58681,391896,Rickettsia bellii OSU 85 389,1215,Host,Mesophile,Aerobe
uid58405,336407,Rickettsia bellii RML369 C,1158,"Host (Endosymbiont, Host, Insect endosymbiont)",Mesophile,Aerobe
uid58159,293613,Rickettsia canadensis McKiel,962,Host,Mesophile,Aerobe
uid57633,272944,Rickettsia conorii Malish 7,1060,Host,Mesophile,Aerobe
uid58331,315456,Rickettsia felis URRWXCal2,1120,Host,Mesophile,Aerobe
uid70839,1032845,Rickettsia heilongjiangensis 054,1084,,,
uid73963,652620,Rickettsia japonica YH,883,,,
uid58801,416276,Rickettsia massiliae MTU5,878,Host,Mesophile,Aerobe
uid59301,562019,Rickettsia peacockii Rustic,835,Host,Mesophile,Aerobe
uid61565,272947,Rickettsia prowazekii Madrid E,763,Host,Mesophile,Aerobe
uid58961,452659,Rickettsia rickettsii Iowa,1127,Host,Mesophile,Aerobe
uid58027,392021,Rickettsia rickettsii Sheila Smith,1099,Host,Mesophile,Aerobe
uid58063,257363,Rickettsia typhi Wilmington,776,Host,Mesophile,Aerobe
uid60727,693978,Riemerella anatipestifer DSM 15868,1764,Host,Mesophile,Aerobe (Microaerophilic)
uid58285,313596,Robiginitalea biformata HTCC2501,2730,Marine,Mesophile,Aerobe
uid73419,585394,Roseburia hominis A2 183,2520,,,
uid58287,383372,Roseiflexus castenholzii DSM 13941,3208,"Marine (Hot spring, Marine)",Thermophile,Facultative
uid58523,357808,Roseiflexus RS 1,3286,"Marine (Hot spring, Marine)",Thermophile,Facultative
uid58597,375451,Roseobacter denitrificans OCh 114,3074,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid54719,391595,Roseobacter litoralis Och 149,3238,Marine,Mesophile,Aerobe
uid49331,762948,Rothia dentocariosa ATCC 17931,1827,"Human (Host, Human oral microflora)",Mesophile,Aerobe
uid43093,680646,Rothia mucilaginosa,1651,"Human (Human oral microflora, Host)",Mesophile,
uid58057,266117,Rubrobacter xylanophilus DSM 9941,2333,Soil,Thermophile,Aerobe
uid57863,246200,Ruegeria pomeroyi DSS 3,2886,Fresh water,Mesophile,Aerobe
uid58193,292414,Ruegeria TM1040,2440,"Multi (Host, Marine)",Mesophile,Aerobe
uid51721,697329,Ruminococcus albus 7,2470,Host,Mesophile,Anaerobe
uid68317,761193,Runella slithyformis DSM 19594,4168,,,
uid59055,471857,Saccharomonospora viridis DSM 43017,2913,Host,Thermophile,Aerobe
uid57921,203122,Saccharophagus degradans 2 40,3209,Fresh water,Psychrophile (Psychrotolerant),Aerobe
uid62947,405948,Saccharopolyspora erythraea NRRL 2338,4518,Soil,Mesophile,Aerobe
uid58513,309807,Salinibacter ruber DSM 13855,2301,Other (Ponds),Mesophile,Aerobe
uid47323,761659,Salinibacter ruber M8,2537,,,
uid58659,391037,Salinispora arenicola CNS 205,3482,"Multi (Fresh water, Marine, Sediment)",Mesophile,Aerobe
uid58565,369723,Salinispora tropica CNB 440,3255,Marine,Mesophile,Aerobe
uid70155,218493,Salmonella bongori NCTC 12419,2982,Host,Mesophile,Facultative
uid58191,882884,Salmonella enterica arizonae serovar 62 z4 z23 RSK2980,3498,,,
uid59431,454166,Salmonella enterica serovar Agona SL483,3549,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid58017,321314,Salmonella enterica serovar Choleraesuis SC B67,3379,"Multi (Food, Soil, Fresh water, Host)",Mesophile,Facultative
uid58917,439851,Salmonella enterica serovar Dublin CT 02021853,3513,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid59247,550537,Salmonella enterica serovar Enteritidis P125109,3201,Host,Mesophile,Facultative
uid59249,550538,Salmonella enterica serovar Gallinarum 287 91,3058,Host,Mesophile,Facultative
uid58973,454169,Salmonella enterica serovar Heidelberg SL476,3618,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid58831,423368,Salmonella enterica serovar Newport SL254,3574,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid59269,554290,Salmonella enterica serovar Paratyphi A AKU 12601,3190,Host,Mesophile,Facultative
uid58201,295319,Salmonella enterica serovar Paratyphi A ATCC 9150,3200,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid59097,1016998,Salmonella enterica serovar Paratyphi B SPB7,4458,,,
uid59063,476213,Salmonella enterica serovar Paratyphi C RKS4594,3539,Host,Mesophile,Facultative
uid58915,439843,Salmonella enterica serovar Schwarzengrund CVM19633,3535,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid57793,220341,Salmonella enterica serovar Typhi CT18,3373,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid57973,209261,Salmonella enterica serovar Typhi Ty2,3342,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid57799,99287,Salmonella enterica serovar Typhimurium LT2,3326,"Multi (Food, Fresh water, Host, Soil)",Mesophile,Facultative
uid40845,446469,Sanguibacter keddieii DSM 10542,2798,Host,Mesophile,Facultative
uid41865,526218,Sebaldella termitidis ATCC 33386,2882,"Host (Gut, Host)",Mesophile,Anaerobe
uid49049,640132,Segniliparus rotundus DSM 44985,2392,Host,Mesophile,Aerobe
uid67315,768490,Serratia AS12,3651,,,
uid67313,768492,Serratia AS9,3651,,,
uid58725,399741,Serratia proteamaculans 568,3512,"Multi (Host, Soil)",Mesophile,Facultative
uid58257,326297,Shewanella amazonensis SB2B,2965,"Other (Mud, Sediment)",Mesophile,Facultative
uid58347,94122,Shewanella ANA 3,3333,"Multi (Soil, Host)",Mesophile,Anaerobe
uid58259,325240,Shewanella baltica OS155,3310,Marine,Mesophile,Facultative
uid58743,402882,Shewanella baltica OS185,3428,Marine,Psychrophile (Psychrotolerant),Facultative
uid58261,399599,Shewanella baltica OS195,3510,Marine,Mesophile,Facultative
uid58775,407976,Shewanella baltica OS223,3428,Marine,Psychrophile (Psychrotolerant),Facultative
uid58263,318161,Shewanella denitrificans OS217,3031,Marine,Mesophile,Facultative
uid58265,318167,Shewanella frigidimarina NCIMB 400,3211,Marine,Mesophile,Facultative
uid59007,458817,Shewanella halifaxensis HAW EB4,3322,"Marine (Marine, Sediment)",Psychrophile,Facultative
uid58349,323850,Shewanella loihica PV 4,3141,"Marine (Hydrothermal vent, Marine)",Psychrophile,Anaerobe
uid58345,60480,Shewanella MR 4,3181,Marine,Mesophile,Anaerobe
uid58343,60481,Shewanella MR 7,3263,Marine,Mesophile,Anaerobe
uid57949,211586,Shewanella oneidensis MR 1,3384,"Fresh water (Fresh water, Sediment)",Mesophile,Facultative
uid58705,398579,Shewanella pealeana ATCC 700345,3292,Host,Psychrophile (Psychrotolerant),Facultative
uid58745,225849,Shewanella piezotolerans WP3,3872,"Marine (Deep sea, Marine, Sediment)",Psychrophile (Psychrotolerant),Facultative
uid58267,319224,Shewanella putrefaciens CN 32,3181,"Multi (Fresh water, Soil)",Mesophile,Anaerobe
uid58835,425104,Shewanella sediminis HAW EB3,3416,"Marine (Marine, Sediment)",Psychrophile,Facultative
uid47085,637905,Shewanella violacea DSS12,3544,"Other (Mud, Sediment)",Psychrophile,Facultative
uid58341,351745,Shewanella W3 18 1,3278,"Marine (Deep sea, Marine, Sediment)",Mesophile,Facultative
uid58721,392500,Shewanella woodyi ATCC 51908,3875,Marine,Psychrophile,Facultative
uid58415,344609,Shigella boydii CDC 3083 94,2851,Host,Mesophile,Facultative
uid58215,300268,Shigella boydii Sb227,2758,Host,Mesophile,Facultative
uid58213,300267,Shigella dysenteriae Sd197,2597,Host,Mesophile,Facultative
uid57991,198215,Shigella flexneri 2a 2457T,2777,Host,Mesophile,Facultative
uid62907,198214,Shigella flexneri 2a 301,2822,Host,Mesophile,Facultative
uid58583,373384,Shigella flexneri 5 8401,2791,Host,Mesophile,Facultative
uid58217,300269,Shigella sonnei Ss046,2876,Host,Mesophile,Facultative
uid46801,580332,Sideroxydans lithotrophicus ES 1,2494,Fresh water,Mesophile,Aerobe
uid68451,331113,Simkania negevensis Z,2000,"Host (Host, Wastewater)",Mesophile,
uid58549,366394,Sinorhizobium medicae WSM419,2745,"Multi (Host, Plant root, Rhizosphere, Root nodule, Soil)",Mesophile,Aerobe
uid57603,266834,Sinorhizobium meliloti 1021,2599,"Multi (Host, Plant root, Root nodule, Soil)",Mesophile,Aerobe
uid52607,693982,Sinorhizobium meliloti AK83,2878,"Multi (Host, Plant root, Root nodule, Soil)",Mesophile,Aerobe
uid59051,471855,Slackia heliotrinireducens DSM 20476,2148,"Host (Rumen, Host)",Mesophile,Anaerobe (Obligate anaerobe)
uid58553,343509,Sodalis glossinidius morsitans,1949,Host,Mesophile,Aerobe (Microaerophilic)
uid61629,448385,Sorangium cellulosum So ce 56,6134,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid41997,479434,Sphaerobacter thermophilus DSM 20745,1969,Other (Sludge),Thermophile,Aerobe (Obligate aerobe)
uid64755,743722,Sphingobacterium 21,3703,,,
uid52597,690566,Sphingobium chlorophenolicum L 1,2398,Soil,Mesophile,
uid47077,452662,Sphingobium japonicum UT26S,2846,,Mesophile,
uid73353,627192,Sphingobium SYK 6,2996,,,
uid58691,392499,Sphingomonas wittichii RW1,3232,Fresh water,Mesophile,Aerobe
uid58351,317655,Sphingopyxis alaskensis RB2256,2512,Marine,Mesophile,Aerobe
uid63633,158189,Spirochaeta Buddy,2302,"Marine (Marine, Hot spring)",Thermophile (Hyperthermophile),Anaerobe
uid68753,744872,Spirochaeta caldaria DSM 7334,2262,,,
uid66331,760011,Spirochaeta coccoides DSM 17374,1474,,,
uid51369,573413,Spirochaeta smaragdinae DSM 11293,2984,Other (Oil fields),Mesophile,Anaerobe (Obligate anaerobe)
uid53037,665571,Spirochaeta thermophila DSM 6192,1852,"Marine (Hot spring, Marine)",Thermophile (Hyperthermophile),Anaerobe
uid43413,504472,Spirosoma linguale DSM 74,4637,"Multi (Fresh water, Fresh water, Soil)",Mesophile,Aerobe
uid46663,446470,Stackebrandtia nassauensis DSM 44728,4237,Soil,Mesophile,Aerobe
uid57797,93062,Staphylococcus aureus COL,2146,Host,Mesophile,Facultative
uid41455,681288,Staphylococcus aureus ED98,2156,Host,Mesophile,Facultative
uid58457,359787,Staphylococcus aureus JH1,2202,Host,Mesophile,Facultative
uid58455,359786,Staphylococcus aureus JH9,2148,Host,Mesophile,Facultative
uid57839,282458,Staphylococcus aureus MRSA252,2166,Host,Mesophile,Facultative
uid57841,282459,Staphylococcus aureus MSSA476,2118,Host,Mesophile,Facultative
uid58817,418127,Staphylococcus aureus Mu3,2162,Host,Mesophile,Facultative
uid57835,158878,Staphylococcus aureus Mu50,2169,Host,Mesophile,Facultative
uid57903,196620,Staphylococcus aureus MW2,2140,Host,Mesophile,Facultative
